n1,n2,n3,n4,e1,e2,e3,e4,a1,a2,a3,a4,c1,c2,c3,c4,i1,i2,i3,i4,p_id,helmet,age,culture,gender,time,group
5,5,1,1,4,1,4,2,2,2,4,4,1,2,2,2,2,4,4,1,977,4,30,GB,male,13:25.40,1
3,4,3,2,4,3,3,3,1,4,5,4,2,4,3,2,2,4,4,2,675,2,29,GB,other,13:34.50,1
2,3,3,4,5,2,4,2,2,2,4,4,4,3,4,4,4,4,3,2,434,3,28,GR,male,14:50.80,1
2,3,3,4,5,1,4,3,3,4,3,3,4,2,2,5,4,4,2,2,661,5,28,GB,male,14:58.90,1
1,3,3,4,5,1,5,2,1,2,5,4,3,3,2,3,1,5,4,2,928,1,34,NG,male,17:48.60,1
2,3,2,4,5,2,3,1,2,2,4,4,3,3,2,3,2,4,4,2,413,2,28,GB,male,16:00.00,2
4,5,2,2,4,2,3,2,1,2,4,4,3,5,5,5,1,4,2,5,785,4,32,GB,female,16:30.70,2
4,5,4,4,3,2,3,3,1,2,4,5,4,4,4,4,1,5,4,1,425,3,30,GB,male,16:31.70,2
3,4,2,2,3,2,2,4,2,1,5,5,4,4,4,4,2,4,4,2,285,5,34,GB,male,16:45.10,2
1,4,4,5,2,2,3,4,1,2,4,4,4,2,2,4,2,4,2,2,619,1,29,GB,male,17:17.10,2
1,3,3,3,2,3,3,3,2,2,4,4,4,2,1,4,2,4,3,2,947,5,40,GB,male,16:55.00,3
1,2,3,4,2,4,2,4,2,2,4,3,2,4,3,3,2,4,5,3,938,4,24,GB,male,17:15.70,3
4,5,4,3,3,1,3,3,1,2,4,2,2,5,5,2,2,4,3,3,876,1,26,PT,male,17:23.20,3
2,3,3,3,4,3,3,3,2,3,4,3,4,2,2,4,1,4,3,2,143,2,34,IT,female,18:08.10,3
2,3,3,4,3,1,4,3,4,1,5,3,2,3,3,3,2,5,4,1,898,3,27,GB,female,18:18.60,3
1,4,4,4,2,4,2,4,2,2,4,4,3,2,2,4,2,4,4,3,590,1,53,GB,female,15:57.70,4
4,5,4,2,4,2,4,2,1,1,5,5,3,2,2,4,4,4,3,2,775,2,34,CO,female,16:02.20,4
2,4,2,4,3,3,3,3,2,2,4,4,3,4,4,3,1,5,4,1,302,3,59,GB,male,16:24.20,4
2,4,3,2,4,3,3,3,4,4,4,2,5,1,1,4,2,5,3,1,146,4,38,HK,female,16:24.40,4
2,4,1,3,3,3,4,3,5,1,5,4,3,3,4,3,1,4,3,1,758,5,34,LK,male,16:28.00,4
3,4,2,3,4,3,4,1,1,2,5,4,4,3,2,5,2,4,5,3,854,1,27,GB,female,05:07.60,5
2,4,4,4,5,2,4,2,3,2,4,4,3,3,3,2,3,2,2,4,771,3,26,TH,male,05:16.20,5
2,4,4,4,2,2,2,4,2,2,5,4,2,4,5,4,1,4,4,2,845,5,46,GB,male,05:33.10,5
3,3,4,2,5,3,4,2,3,3,3,3,3,2,3,4,4,3,2,3,381,2,53,GB,male,06:28.00,5
3,4,4,4,3,3,3,4,2,1,5,5,2,4,3,1,3,3,3,2,499,4,29,GB,female,06:44.80,5
1,2,1,3,4,2,3,2,3,2,4,4,5,2,2,5,1,5,3,1,488,4,26,GB,male,20:04.30,6
4,5,2,1,3,2,3,2,1,1,4,4,1,4,2,1,3,3,4,2,929,1,28,GB,male,20:13.60,6
4,5,1,1,1,3,2,5,1,1,4,3,5,1,1,3,1,5,5,2,158,5,28,GB,female,20:16.10,6
1,4,2,5,4,3,4,4,2,4,4,5,2,1,2,4,1,4,4,1,335,3,30,GB,male,20:45.90,6
5,5,1,2,4,2,4,1,1,2,5,4,1,5,5,2,1,4,4,2,275,2,34,GB,male,21:04.00,6
